News ID,Content,Noun Chunks,Indexed Noun Chunks
N10000,Predicting Atlanta United's lineup against Columbus Crew in the U.S. Open Cup,"[""atlanta united's lineup"", 'columbus crew', 'the u.s. open cup']","[76, 118, 499]"
N10001,Mitch McConnell: DC statehood push is 'full bore socialism',"['dc statehood push', 'full bore socialism']","[133, 184]"
N10002,Home In North Highlands Damaged By Fire,"['home', 'north highlands', 'fire']","[221, 342, 175]"
N10003,Meghan McCain blames 'liberal media' and 'third-wave feminism' after getting heat over husband's Kamala Harris T-shirts,"['meghan mccain', 'liberal media', ""'third-wave feminism"", 'heat', ""husband's kamala harris t-shirts""]","[297, 273, 3, 207, 226]"
N10004,Today in History: Aug 1,"['today', 'history', 'aug']","[520, 219, 78]"
N10005,Odell Beckham Jr New Custom Rolls Royce Cullinan,['odell beckham jr new custom rolls royce cullinan'],[346]
N10006,This Attention-Grabbing Chevrolet Malibu Packs A 454 Ci V8,['a 454 ci v8'],[21]
N10007,"GOP senators urge Trump to reject Iran's 'nuclear blackmail,' seek to 'snapback' sanctions at the UN","['gop senators', 'trump', ""iran's 'nuclear blackmail"", ""to 'snapback' sanctions"", 'the un']","[199, 535, 237, 519, 500]"
N10008,5 great Mexican restaurants in Lebanon County,"['5 great mexican restaurants', 'lebanon county']","[16, 270]"
N10009,NFL officials union head expects a lot of preseason PI review stoppages,"['nfl officials union head', 'a lot', 'preseason pi review stoppages']","[337, 35, 388]"
N10010,"Top Analyst Upgrades and Downgrades: American Eagle, Atlassian, Match, NextEra, Nordstom, Office Depot, Roku, Stamps.com, Tanger and More","['top analyst upgrades', 'downgrades', 'american eagle', 'atlassian', 'match', 'nextera', 'nordstom', 'office depot', 'roku', 'stamps.com', 'tanger']","[524, 149, 60, 77, 290, 336, 341, 348, 411, 441, 458]"
N10011,Alice Cooper Shuts Down Rumor He Has a 'Death Pact' With Wife,"['alice cooper', 'he', ""a 'death pact"", 'wife']","[56, 206, 20, 561]"
N10012,The ideal landing spots for the top 30 NBA free agents,"['the ideal landing spots', 'the top 30 nba free agents']","[480, 498]"
N10013,This Popular UK Makeup Brand Is Finally Coming to Target,"['this popular uk makeup brand', 'target']","[514, 459]"
N10014,Red Line To Be Back To Speed By Labor Day: MBTA,"['red line', 'speed', 'labor day', 'mbta']","[401, 436, 263, 293]"
N10015,The #1 Way to Invest for Retirement,"['the #1 way', 'retirement']","[467, 407]"
N10016,Dan Woike: Kevin Durant's ruptured Achilles could signal the end of one of the great NBA lineups,"['dan woike', ""kevin durant's ruptured achilles"", 'the end', 'the great nba lineups']","[129, 259, 474, 478]"
N10017,Pete Buttigieg raised staggering $7 million in April alone,"['pete buttigieg', 'april']","[372, 70]"
N10018,Breakfast Mistakes You Didn't Know You Were Making,"['you', 'you']","[571, 571]"
N10019,Minnie Driver Just Launched a Chic Furniture Collection with One Kings Lane,"['minnie driver', 'a chic furniture collection', 'one kings lane']","[305, 28, 351]"
N10020,Baltimore's budget for ethics enforcement: $0,"[""baltimore's budget"", 'ethics enforcement']","[81, 160]"
N10021,Fruit Museum,['fruit museum'],[183]
N10022,"After more than 3 decades, familiar face at Devil's Head Fire Lookout Tower retires","['more than 3 decades', 'familiar face', ""devil's head fire lookout tower""]","[310, 167, 138]"
N10023,Drew League fans took video of LaVar as he found out about Lonzo's trade,"['drew league fans', 'video', 'lavar', 'he', ""lonzo's trade""]","[153, 547, 269, 206, 275]"
N10024,"U.S. Open 2019: Tee times for Round 4, Sunday's TV schedule, how to watch live","['u.s. open', 'tee times', 'round', ""sunday's tv schedule""]","[539, 461, 413, 452]"
N10025,"At Tampa General Hospital, 3-D printers are removing guesswork for doctors and patients","['tampa general hospital', '3-d printers', 'guesswork', 'doctors', 'patients']","[457, 14, 204, 143, 368]"
N10026,Rockets land in an Iraqi military post home to US personnel,"['rockets land', 'an iraqi military post', 'us personnel']","[410, 64, 544]"
N10027,Trump: '2 weeks and big Deportation begins!',['trump'],[535]
N10028,Democrats plan to ask Hope Hicks about hush money schemes to silence affair allegations against Trump,"['democrats', 'hope hicks', 'hush money schemes', 'affair allegations', 'trump']","[137, 223, 227, 47, 535]"
N10029,5 Must-See Announcements From Shopify's Unite Conference,"['announcements', ""shopify's unite conference""]","[66, 428]"
N10030,Should Value Investors Pick Buckeye Partners (BPL) Stock?,['should value investors pick buckeye partners (bpl) stock'],[429]
N10031,16 American commoners who married into royalty,"['16 american commoners', 'who', 'royalty']","[10, 559, 414]"
N10032,5 of the Best Stocks to Buy for July,"['the best stocks', 'july']","[470, 253]"
N10033,Man lying in bed shot during drive-by at northwest Houston home,"['man', 'bed', 'drive-by', 'northwest houston home']","[284, 82, 154, 344]"
N10034,Report: Rams showing interest in supplemental draft prospect Jalen Thompson,"['report', 'rams', 'interest', 'supplemental draft prospect', 'jalen thompson']","[403, 395, 233, 453, 241]"
N10035,Democrat Warren wants $7 billion fund to give grants to minority entrepreneurs,"['democrat warren', '$7 billion fund', 'grants', 'minority entrepreneurs']","[135, 0, 202, 306]"
N10036,Tennis nonprofit brings lessons to new generation of children,"['tennis nonprofit', 'lessons', 'new generation', 'children']","[463, 272, 328, 105]"
N10037,"Elk Uses a Car as Step Stool in Estes Park, Colorado","['a car', 'step stool', 'estes park', 'colorado']","[27, 444, 159, 117]"
N10038,President Trump doubles down on his fight to add citizenship question to census,"['president trump', 'his fight', 'citizenship question']","[389, 217, 115]"
N10039,Every-day technologies that came from the space program,"['every-day technologies', 'that', 'the space program']","[162, 466, 496]"
N10040,Wendy Williams Just Revealed She's Been Diagnosed With Lymphedema,"['wendy williams', 'she', 'lymphedema']","[557, 427, 283]"
N10041,Reborn Porsche 935 Shown In Stunning Liveries,"['reborn porsche', 'stunning liveries']","[399, 449]"
N10042,"Dana White says Luke Rockhold broke jaw at UFC 239, urges ex-champ to 'hang it up'","['dana white', 'luke rockhold', 'jaw', 'ufc', 'ex', '-', 'champ', 'it']","[130, 282, 243, 540, 164, 4, 102, 238]"
N10043,Washington Nationals vs Philadelphia Phillies: GameThread 72 of 162,"['washington nationals', 'philadelphia phillies', 'gamethread']","[554, 375, 189]"
N10044,Game 69 Preview: Indians at Tigers,"['game 69 preview', 'indians', 'tigers']","[187, 232, 516]"
N10045,Donovan Mitchell predicts where NBA free agents will land,"['donovan mitchell', 'nba free agents']","[147, 325]"
N10046,More Bad News for Sprint and T-Mobile Merger Ambitions,"['more bad news', 'sprint and t-mobile merger ambitions']","[308, 438]"
N10047,"Sopranos movie prequel, ""The Many Saints of Newark""","['sopranos movie prequel', 'the many saints', 'newark']","[435, 485, 335]"
N10048,Astros insider: Stuck in a frustrating rut,"['astros insider', 'a frustrating rut']","[75, 32]"
N10049,"Kylie Jenner Talked About 'How Rich She Is' at the Met Gala, Says Alex Rodriguez","['kylie jenner', 'she', 'the met gala', 'alex rodriguez']","[262, 427, 487, 55]"
N10050,The Good Fight - The Schtup List (Sneak Peek),"['the good fight', 'the schtup list', 'sneak peek']","[477, 494, 434]"
N10051,Democratic Presidential Candidate Elizabeth Warren Visits Homestead Facility For Migrant Children,"['democratic presidential candidate elizabeth warren', 'homestead facility', 'migrant children']","[136, 222, 302]"
N10052,Tonto National Forest restrictions ordered due to wildfire risk,"['tonto national forest restrictions', 'wildfire risk']","[523, 562]"
N10053,Can you find the penguin among the flock of toucans in this viral brainteaser?,"['you', 'the penguin', 'the flock', 'toucans', 'this viral brainteaser']","[571, 492, 476, 525, 515]"
N10054,Inside Walmart's Year-Long Project To Be A Shipper Of Choice,"[""walmart's year-long project"", 'a shipper', 'choice']","[553, 40, 110]"
N10055,Okeechobee County deputies investigating overdoses,"['okeechobee county deputies', 'overdoses']","[350, 360]"
N10056,"With Luka Samanic, the Spurs get fit without sacrificing potential","['luka samanic', 'the spurs', 'potential']","[280, 497, 386]"
N10057,How Much Does It Cost To Start Riding?,"['it', 'riding']","[238, 409]"
N10058,"'Younger' star Sutton Foster talks filming Marie's Crisis scene, evolution of the show (Exclusive)","[""younger' star sutton foster"", ""marie's crisis scene"", 'evolution', 'the show']","[572, 288, 163, 495]"
N10059,"Trevor Lawrence says he would ""never"" sit out a bowl game","['trevor lawrence', 'he', 'a bowl game']","[533, 206, 26]"
N10060,19 things I bought from Amazon to prepare for my deviated septum surgery,"['19 things', 'i', 'amazon', 'my deviated septum surgery']","[11, 228, 58, 317]"
N10061,These Portland researchers will pay you to try seaweed bread,"['these portland researchers', 'you', 'seaweed bread']","[510, 571, 420]"
N10062,Working For The Weekend: Entertainment Best Bets,"['the weekend', 'entertainment best bets']","[502, 158]"
N10063,"After a deadly crash, Jarheads rely on their brotherhood to confront tragedy","['a deadly crash', 'jarheads', 'their brotherhood', 'tragedy']","[31, 242, 507, 530]"
N10064,"Balancing Act: In 'Mrs. Everything,' Jennifer Weiner explores her mom's sexuality, evolving gender roles and Donald Trump's America. Is it a beach read? Maybe!","['balancing act', 'mrs. everything', 'jennifer weiner', ""her mom's sexuality"", 'gender roles', ""donald trump's america"", 'it', 'a beach read']","[80, 313, 245, 213, 194, 146, 238, 22]"
N10065,Hoiberg Flakes: Alex Gordon & Jordan Burroughs Leads Today's Breakfast,"['hoiberg flakes', 'alex gordon', 'jordan', ""today's breakfast""]","[220, 54, 251, 521]"
N10066,Gillian Anderson Is Finding #PenisOfTheDay Pics in Nature - #LateLateLondon,"['gillian anderson', 'pics', 'nature']","[198, 376, 323]"
N10067,Recruits warm up to Gophers as program adapts to new rules,"['recruits', 'gophers', 'program adapts', 'new rules']","[400, 200, 391, 333]"
N10068,"Tyson Fury vs. Tom Schwarz: Fight date, start time, PPV price, odds, full card","['tyson fury', 'tom schwarz', 'fight date', 'time', 'full card']","[538, 522, 174, 517, 185]"
N10069,"Al, Craig and Carson share favorite memories with their dads","['al', 'craig', 'carson', 'favorite memories', 'their dads']","[50, 123, 96, 171, 508]"
N10070,Luka Jovic Officially Presented as New Real Madrid Player After Passing Medical,"['luka jovic', 'new real madrid player', 'passing medical']","[279, 331, 367]"
N10071,USF Women's Soccer 2019 Schedule Released,"[""usf women's soccer 2019 schedule""]",[545]
N10072,China's job market faces new pressure as trade war with US drags on,"[""china's job market"", 'new pressure', 'trade war', 'us']","[107, 330, 528, 542]"
N10073,Max Landis Accused By Multiple Women Of Sexual Abuse,"['max landis', 'multiple women', 'sexual abuse']","[291, 315, 424]"
N10074,10-year-old boy questioned by police after he played with toy money,"['10-year-old boy', 'police', 'he', 'toy money']","[7, 379, 206, 527]"
N10075,Watch: Manny Machado responds to heckler at Dodger Stadium,"['manny machado', 'dodger stadium']","[287, 144]"
N10076,Mexitaly coming to downtown York in part of a $3.6 million project,"['mexitaly', 'downtown york', 'part', 'a $3.6 million project']","[299, 150, 365, 19]"
N10077,Opinions | Americans must accept that none of these things ever happened,"['opinions', 'americans', 'none', 'these things']","[355, 62, 340, 511]"
N10078,"Adam Devine Angrily Serenades Jimmy with Natalie Imbruglia's ""Torn""","['adam devine angrily', 'jimmy']","[46, 247]"
N10079,"Arch-climbing fans forced down, interrupting Raptors parade","['arch-climbing fans', 'raptors']","[71, 397]"
N10080,Another strong outing for Frankie Montas as A's rip Mariners,"['another strong outing', 'frankie montas', ""a's rip mariners""]","[67, 182, 45]"
N10081,High Point man suffers serious head injuries in four-wheeler crash,"['high point man', 'serious head injuries', 'four-wheeler crash']","[216, 422, 181]"
N10082,Manhattan couple's dog found safe after Wag walker allegedly steals pooch,"[""manhattan couple's dog"", 'wag walker', 'pooch']","[286, 551, 381]"
N10083,"'Beverly Hills, 90210' Stars and Their Families","[""'beverly hills"", 'stars', 'their families']","[1, 442, 509]"
N10084,"Inspired by 'The Whole 30,' Joel Luks went from overweight to Zumba instructor","['the whole', 'joel luks', 'overweight', 'zumba instructor']","[503, 249, 361, 578]"
N10085,Porsche 996 GT3 RSR Insane Sound,['porsche 996 gt3 rsr insane sound'],[384]
N10086,Princeton High defensive lineman Darrion Henry commits to Ohio State,"['princeton high defensive lineman darrion henry', 'ohio state']","[390, 349]"
N10087,Red Sox catcher proclaims team 'back' after sweep of Orioles,"['red sox catcher', 'team', 'sweep', 'orioles']","[402, 460, 455, 356]"
N10088,Cisco and American Well are teaming up to let you talk to your doctor from your TV,"['cisco', 'you', 'your doctor', 'your tv']","[114, 571, 575, 577]"
N10089,"Gavin ""battling to understand"" how Fassler to blame for crash","['gavin', 'fassler', 'crash']","[190, 168, 124]"
N10090,Pools Around Philadelphia To Begin Opening This Week,"['pools', 'philadelphia']","[382, 374]"
N10091,Larry Bird's $2.4M Indy mansion for sale; Naples home off the market,"[""larry bird's $2.4m indy mansion"", 'sale', 'naples', 'the market']","[266, 417, 319, 486]"
N10092,Links: We haven't even reached the halfway point yet,"['we', 'the halfway point']","[555, 479]"
N10093,Why Trump's new vow to use ICE to deport 'millions' matters,"[""why trump's new vow"", 'ice', ""'millions' matters""]","[560, 229, 2]"
N10094,Charlotte sets new record low of 49 degrees Friday morning,"['charlotte', 'new record low', '49 degrees']","[104, 332, 15]"
N10095,Fear the Walking Dead premiere recap: A crash landing leads to new threats,"['the walking dead premiere recap', 'a crash landing', 'new threats']","[501, 30, 334]"
N10096,California 'Lorax' tree sparks investigation after mysterious fall,"[""california 'lorax' tree"", 'investigation', 'mysterious fall']","[93, 234, 318]"
N10097,Rookie Tifft transitioning to racing in NASCAR's premier series,"['rookie tifft', ""nascar's premier series""]","[412, 320]"
N10098,Aron Baynes Highlights 2018/19 NBA Regular Season,['aron baynes highlights'],[72]
N10099,"She was fired for pulling a gun on a black couple. Now, the ex-campground employee has been arrested","['she', 'a gun', 'a black couple', 'the ex-campground employee']","[427, 34, 24, 475]"
N10100,"Kerry Blackshear Jr. could be nearing transfer decision, reports say","['kerry blackshear jr.', 'transfer decision', 'reports']","[257, 532, 404]"
N10101,"Respawn details Apex Legends' new gun, season 2 weapon improvements","['respawn details', ""apex legends' new gun, season 2 weapon improvements""]","[405, 68]"
N10102,Domino's brings self-driving pizza delivery pilot to Houston,"['domino', 'self-driving pizza delivery pilot', 'houston']","[145, 421, 225]"
N10103,We tried the new 'meatier' Beyond Burger. Here's what it tastes like,"['we', ""the new 'meatier"", 'burger', 'what', 'it']","[555, 490, 90, 558, 238]"
N10104,Body Of Man Who Went Missing At American River Confluence In Placer County Found,"['body', 'man', 'who', 'american river confluence', 'placer county']","[85, 284, 559, 61, 378]"
N10105,Pramila Jayapal talks about her own abortion in op-ed,"['pramila jayapal', 'her own abortion', 'op-ed']","[387, 214, 354]"
N10106,Luke Perry's Daughter Honors Late Actor After Father's Day,"[""luke perry's daughter honors late actor"", ""father's day""]","[281, 170]"
N10107,US companies voice alarm over China tariffs,"['us companies', 'alarm', 'china tariffs']","[543, 51, 106]"
N10108,Letter: Data in story on SC 'job haters' seemed to be 'spurious',"['data', 'story', ""sc 'job haters""]","[132, 446, 418]"
N10109,Watch: QB coach breaks down Chargers rookie Easton Stick,"['qb coach', 'chargers rookie easton stick']","[392, 103]"
N10110,Pop quiz! Kaz Grala surprised with driver's license test,"['pop quiz', 'kaz grala', ""driver's license test""]","[383, 255, 155]"
N10111,"Richard P. Kughn, former Lionel toy train co. owner, dies at 89","['richard p. kughn', 'former lionel toy train co. owner']","[408, 177]"
N10112,Amtrak reviving Gulf Coast rail line after more than a decade,"['amtrak', 'gulf coast rail line', 'more than a decade']","[63, 205, 311]"
N10113,A new psychiatrist will evaluate Catherine Hoggle to see if she can stand trial,"['a new psychiatrist', 'catherine hoggle', 'she', 'trial']","[38, 97, 427, 534]"
N10114,CineEurope: Paramount Offers Extended Look at 'Gemini Man',"['cineeurope', 'paramount offers extended look', 'gemini man']","[113, 364, 193]"
N10115,Why Pamela Anderson Is Sharing Video of Her Bandaged Hand,"['pamela anderson', 'sharing video', 'her bandaged hand']","[362, 425, 210]"
N10116,"College World Series scores: Daily TV schedule, bracket, results for 2019 NCAA baseball tournament","['college world series scores', 'daily tv schedule', 'bracket']","[116, 127, 87]"
N10117,Women's World Cup Viewing Party Set For Around LA,"[""women's world cup viewing party"", 'around la']","[567, 73]"
N10118,Here's Why Generic-Drug Manufacturers Lost As Much As 43.2% in May,"['generic-drug manufacturers', 'much as 43.2%', 'may']","[196, 314, 292]"
N10119,Trump bemoans 'very sad time for America' after citizenship question dropped from census,"['trump bemoans', 'very sad time', 'america', 'citizenship question', 'census']","[536, 546, 59, 115, 99]"
N10120,How to Naturally Lower Cholesterol Levels in Children,"['naturally lower cholesterol levels', 'children']","[322, 105]"
N10121,St. Louis Blues Capture First Stanley Cup With Game Seven Win Over Bruins,"['st. louis blues capture first stanley cup', 'game seven', 'win', 'bruins']","[440, 188, 563, 88]"
N10122,"Unsatisfied with negotiations, Danton Heinen is taking Bruins to salary arbitration","['negotiations', 'danton heinen', 'bruins', 'salary arbitration']","[327, 131, 88, 416]"
N10123,Former Maine governor has a new job _ tending bar,"['former maine governor', 'a new job', 'tending bar']","[178, 37, 462]"
N10124,Panthers' Roberto Luongo faces tough decision on future,"[""panthers' roberto luongo"", 'tough decision', 'future']","[363, 526, 186]"
N10125,Mercedes Fan Builds 300KMH C9 Sauber | RIDICULOUS RIDES,['mercedes fan builds 300kmh c9 sauber'],[298]
N10126,St. Louis alderman arrested again for outstanding warrants during traffic stop,"['st. louis alderman', 'outstanding warrants', 'traffic stop']","[439, 357, 529]"
N10127,LACMA architect Peter Zumthor comments on museum's revised design,"['peter zumthor', ""museum's revised design""]","[373, 316]"
N10128,Why Wynn Resorts Stock Plunged 25.7% Last Month,['wynn resorts stock'],[569]
N10129,Ex Miami-Dade School Board Member Solomon Stinson Remains In Jail,"['ex miami-dade school board member solomon stinson', 'jail']","[165, 240]"
N10130,Is Nick Caserio eager to leave Patriots for Texans?,"['nick caserio', 'patriots', 'texans']","[338, 369, 465]"
N10131,21 Fascinating Numbers From the 189 FCS-Over-FBS Wins of All Time,"['21 fascinating numbers', 'over-fbs', 'all time']","[12, 359, 57]"
N10132,Would you buy this Chevrolet Suburban and RV? We would,"['you', 'this chevrolet suburban', 'rv', 'we']","[571, 513, 415, 555]"
N10133,"2020 Kia Telluride first drive: A big, bold SUV with great value","['kia telluride first drive', 'a big, bold suv', 'great value']","[260, 23, 203]"
N10134,15 Ways to Brighten Up Your House to Fight Cabin Fever,"['15 ways', 'your house', 'cabin fever']","[9, 576, 91]"
N10135,Agostino fired up after scoring in Blues debut,"['agostino', 'scoring', 'blues']","[48, 419, 84]"
N10136,Steelers LB T.J. Watt snubbed among elite NFL edge defenders,"['steelers lb t.j. watt', 'elite nfl edge defenders']","[443, 156]"
N10137,Kansas City police release photo of person of interest in Monday's homicide,"['kansas city police', 'person', 'interest', ""monday's homicide""]","[254, 371, 233, 307]"
N10138,Easy Recipes You Can Make in a Mug,"['you', 'a mug']","[571, 36]"
N10139,Largest cocaine bust in centuries uncovered in Philadelphia,"['largest cocaine bust', 'centuries', 'philadelphia']","[265, 101, 374]"
N10140,Why Is Kohl's (KSS) Down 12.3% Since Last Earnings Report?,"[""kohl's (kss"", 'last earnings report']","[261, 267]"
N10141,"The Latest: Spieth, caddie find rake trouble on No. 2","['the latest: spieth', 'caddie', 'rake trouble', 'no', '.']","[483, 92, 394, 339, 5]"
N10142,Her 'vision trouble' turned out to be a sign of stroke but she ignored it,"[""her 'vision trouble"", 'a sign', 'stroke', 'she', 'it']","[209, 41, 447, 427, 238]"
N10143,'Avengers: Endgame' failed to beat 'Avatar' for the worldwide box-office record after being rereleased to theaters,"['endgame', 'avatar', 'the worldwide box-office record', 'theaters']","[157, 79, 505, 506]"
N10144,Woman Recently Finds Out Her Late Husband of Over 60 Years Was A Spy!,"['woman', 'her late husband', 'over 60 years', 'a spy']","[566, 212, 358, 42]"
N10145,Testimony: Suspect Bought Drano After Chinese Scholar Death,"['testimony', 'suspect bought drano', 'chinese scholar death']","[464, 454, 109]"
N10146,Exclusive: Images show construction on China's third - and largest - aircraft carrier,"['images', 'construction', ""china's third - and largest - aircraft carrier""]","[231, 120, 108]"
N10147,Kentucky Peerless is bringing back a classic in a new way 102 years later,"['kentucky peerless', 'a classic', 'a new way']","[256, 29, 39]"
N10148,Louisville City FC comes back to beat Nashville SC,"['louisville city fc', 'nashville sc']","[277, 321]"
N10149,Heirloom Tomato Pie,['heirloom tomato pie'],[208]
N10150,Forrest Gump (1994) Trailer #1 | Movieclips Classic Trailers,"['forrest gump', 'trailer #1 | movieclips classic trailers']","[179, 531]"
N10151,Winners and losers from Raptors' series-clinching Game 6 win,"['winners', 'losers', ""raptors' series-clinching game""]","[564, 276, 398]"
N10152,10 overrated US cities and where you should go instead,"['10 overrated us cities', 'you']","[6, 571]"
N10153,Sharks re-sign Tim Heed to one-year contract,"['sharks', 'sign tim heed', 'one-year contract']","[426, 431, 352]"
N10154,Dozens Of Local Agencies Deemed 'Unauditable' By WA Auditor,"['dozens', 'local agencies', ""deemed 'unauditable"", 'wa auditor']","[151, 274, 134, 550]"
N10155,Dacre Montgomery's Stranger Things character influenced by his own style,"[""dacre montgomery's stranger things character"", 'his own style']","[126, 218]"
N10156,Do Keto Supplements For Faster Weight Loss Work?,"['keto supplements', 'faster weight loss work']","[258, 169]"
N10157,General Electric (GE) Stock Sinks As Market Gains: What You Should Know,"['general electric', 'ge', 'stock sinks', 'market gains', 'what', 'you']","[195, 191, 445, 289, 558, 571]"
N10158,Slime from Slugs Could Make Stronger Glue Used in Medical Surgery,"['slime', 'slugs', 'stronger glue', 'medical surgery']","[432, 433, 448, 296]"
N10159,"We will leave EU by Oct. 31, Johnson vows in pitch to be UK PM","['we', 'eu', 'oct.', 'johnson', 'pitch', 'uk pm']","[555, 161, 345, 250, 377, 541]"
N10160,Cubs host high-scoring Braves in showdown of division leaders,"['cubs', 'host high-scoring braves', 'showdown', 'division leaders']","[125, 224, 430, 142]"
N10161,The 50 Best Places To Retire -- and What It Costs To Live There,"['the 50 best places', 'retire', 'what', 'it']","[468, 406, 558, 238]"
N10162,McConnell opens door to vote on Iran war authorization,"['mcconnell', 'door', 'iran war authorization']","[294, 148, 236]"
N10163,Sunday open thread: is the NBA one day away from sweeping changes?,"['sunday open thread', 'the nba', 'sweeping changes']","[451, 489, 456]"
N10164,"Christie Brinkley & Her Daughter Raise a Glass, Plus Pride Celebrations, Miley Cyrus & More","['christie brinkley', 'her daughter', 'a glass, plus pride celebrations', 'miley cyrus']","[111, 211, 33, 303]"
N10165,"11,000 high school students worship during Forward Conference 2019","['11,000 high school students', 'forward conference']","[8, 180]"
N10166,A woman had a black horn growing from her thumb for 5 years and doctors had to surgically remove it,"['a woman', 'a black horn', 'her thumb', '5 years', 'doctors', 'it']","[44, 25, 215, 17, 143, 238]"
N10167,Passenger found dead on Princess Cruises ship sailing in the Caribbean,"['passenger', 'the caribbean']","[366, 472]"
N10168,Winston-Salem Salvation Army Packs Meals to 'Stop Summer Hunger',"['winston-salem salvation army', 'meals', 'summer hunger']","[565, 295, 450]"
N10169,9 Ways to Lose Weight When You're in Your 50s,"['9 ways', 'weight', 'you', 'your 50s']","[18, 556, 571, 573]"
N10170,NBA's Free Agency Bonanza,"[""nba's free agency bonanza""]",[326]
N10171,"Cincinnati weather: Father's Day to see more rain, storms","['cincinnati weather', ""father's day"", 'more rain']","[112, 170, 309]"
N10172,Go to the Phoenix Suns Draft Party!,['the phoenix suns draft party'],[493]
N10173,Middletown woman wanted after allegedly assaulting police officer,"['middletown woman', 'police officer']","[301, 380]"
N10174,The BMW M5 Competition Is the M5 You Want,"['the bmw m5 competition', 'the m5', 'you']","[471, 484, 571]"
N10175,Here's How Amazon's Motor Oil Stacks Up Against Big Name Brands,['big name brands'],[83]
N10176,Joaquin Castro To Laura Ingraham: 'You're A White Supremacist',"['joaquin castro', 'laura ingraham', 'you', 'a white supremacist']","[248, 268, 571, 43]"
N10177,Can Sam's Club Change How America Buys Tires?,"[""can sam's club change"", 'america', 'tires']","[95, 59, 518]"
N10178,"The owner of Budweiser and Corona is planning the largest IPO of 2019. Meet the company's famously private CEO, who has only one hobby and doesn't like company perks","['the owner', 'budweiser', 'corona', 'the largest ipo', ""the company's famously private ceo"", 'who', 'only one hobby', 'company perks']","[491, 89, 121, 481, 473, 559, 353, 119]"
N10179,NBA Draft 2019: Grant Williams selected by Boston Celtics,"['nba draft', 'grant williams', 'boston celtics']","[324, 201, 86]"
N10180,Jack Easterby at center of Patriots' tampering charge against Texans,"['jack easterby', 'center', ""patriots' tampering charge"", 'texans']","[239, 100, 370, 465]"
N10181,"Severe Storms With Damaging Winds, Large Hail Possible For IL","['severe storms', 'damaging winds', 'large hail', 'il']","[423, 128, 264, 230]"
N10182,Man Dead After Crashing Speeding Lamborghini In Northeast Dallas,"['man dead', 'speeding lamborghini', 'northeast dallas']","[285, 437, 343]"
N10183,The Last Thing America Needs Is Yet Another Open-Ended War In The Middle East,"['the last thing', 'yet another open-ended war', 'the middle east']","[482, 570, 488]"
N10184,California's Swimming Pools Have Diarrhea-Causing 'Poop Water',"[""california's swimming pools"", ""diarrhea-causing 'poop water""]","[94, 140]"
N10185,This $12 dish is the best comfort food to have in February,"['this $12 dish', 'the best comfort food', 'february']","[512, 469, 172]"
N10186,Check It Out: The World's Largest Chest of Drawers,"['it', ""the world's largest chest"", 'drawers']","[238, 504, 152]"
N10187,Welcome to Motherhood! Celebrities Who Became First-Time Moms This Year,"['motherhood', 'celebrities', 'who', 'first-time moms']","[312, 98, 559, 176]"
N10188,"Departing Volusia Superintendent Tom Russell to get $244,300 from district","['volusia superintendent tom russell', 'district']","[549, 141]"
N10189,"Radio host apologizes for Andy Reid comments, pulled off air indefinitely","['radio host', 'andy reid comments', 'air']","[393, 65, 49]"
N10190,Ramsey veteran draws on experience for military psychological thriller,"['ramsey veteran', 'experience', 'military psychological thriller']","[396, 166, 304]"
N10191,11 Summer Sandals We Found at Walmart and Need ASAP - Starting at Just $25,"['we', 'walmart', 'asap']","[555, 552, 74]"
N10192,Better buy: Apple vs. Microsoft,"['apple', 'microsoft']","[69, 300]"
N10193,"Democrats want investigation into cost, legality of Trump's July 4th event","['democrats', 'investigation', 'cost', 'legality', ""trump's july 4th event""]","[137, 234, 122, 271, 537]"
N10194,"Joseph Iscovitz, one of few remaining Pearl Harbor survivors, dies at 103","['joseph iscovitz', 'few remaining pearl harbor survivors']","[252, 173]"
N10195,Alaska Air criticized after video surfaces of worker 'carelessly throwing luggage' off plane,"['alaska air', 'video surfaces', 'worker', 'luggage', 'off plane']","[52, 548, 568, 278, 347]"
N10196,NBA Draft: Jaxson Hayes' mom was one of Iowa's greatest basketball players ever,"['nba draft', ""jaxson hayes' mom"", ""iowa's greatest basketball players""]","[324, 244, 235]"
N10197,Alex Dickerson's historic debut leads Giants past Diamondbacks,"[""alex dickerson's historic debut"", 'giants', 'diamondbacks']","[53, 197, 139]"
N10198,3 Pounds Of Pot; New Playland Ride; Jersey Mike's Opening,"['3 pounds', 'pot', 'new playland ride', ""jersey mike's opening""]","[13, 385, 329, 246]"
N10199,Gemini: Your daily horoscope - July 12,"['gemini', 'your daily horoscope - july']","[192, 574]"
